times,population,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
57.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
63.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
65.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
67.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
71.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
72.0,0.998511904761905,1.0,1.0,1.0,1.0,1.0,1.0,0.9978540772532187,1.0,1.0,1.0,1.0,1.0,1.0,0.9981515711645109
98.0,0.9970238095238094,1.0,1.0,1.0,1.0,1.0,0.9938650306748462,0.9978540772532187,1.0,0.9873417721518987,0.9926470588235292,1.0,1.0,0.9917355371900822,0.9963031423290212
113.0,0.9955357142857146,1.0,1.0,1.0,1.0,1.0,0.9877300613496934,0.9978540772532187,1.0,0.9746835443037978,0.9852941176470582,0.9285714285714287,1.0,0.9834710743801652,0.994454713493531
114.0,0.9955357142857146,1.0,1.0,1.0,1.0,1.0,0.9877300613496934,0.9978540772532187,1.0,0.9746835443037978,0.9852941176470582,0.9285714285714287,1.0,0.9834710743801652,0.994454713493531
120.0,0.9940453913601373,1.0,1.0,1.0,1.0,1.0,0.9815950920245395,0.9978540772532187,1.0,0.9620253164556962,0.9779411764705879,0.8571428571428573,1.0,0.975206611570248,0.9926028425186824
148.0,0.9940453913601373,1.0,1.0,1.0,1.0,1.0,0.9815950920245395,0.9978540772532187,1.0,0.9620253164556962,0.9779411764705879,0.8571428571428573,1.0,0.975206611570248,0.9926028425186824
160.0,0.9925528307124493,1.0,1.0,1.0,1.0,1.0,0.9754601226993865,0.9978540772532187,1.0,0.9493670886075947,0.9705882352941171,0.8571428571428573,1.0,0.9669421487603305,0.9907475101027601
168.0,0.9925528307124493,1.0,1.0,1.0,1.0,1.0,0.9754601226993865,0.9978540772532187,1.0,0.9493670886075947,0.9705882352941171,0.8571428571428573,1.0,0.9669421487603305,0.9907475101027601
169.0,0.9910580222324609,1.0,1.0,1.0,1.0,1.0,0.9693251533742332,0.9978540772532187,1.0,0.9493670886075947,0.9632352941176464,0.8571428571428573,1.0,0.9586776859504128,0.9888886967629804
171.0,0.9895632137524724,1.0,0.972972972972973,1.0,0.96875,0.9666666666666667,0.9693251533742332,0.9978540772532187,0.9642857142857144,0.9493670886075947,0.9632352941176464,0.8571428571428573,1.0,0.9586776859504128,0.9870298834232003
