times,population,R0,R1,R2,R3
0.0,1.0,1.0,1.0,1.0,1.0
0.07,1.0,1.0,1.0,1.0,1.0
0.1,1.0,1.0,1.0,1.0,1.0
0.2,1.0,1.0,1.0,1.0,1.0
0.23,1.0,1.0,1.0,1.0,1.0
0.3,1.0,1.0,1.0,1.0,1.0
0.39,1.0,1.0,1.0,1.0,1.0
0.53,1.0,1.0,1.0,1.0,1.0
0.89,1.0,1.0,1.0,1.0,1.0
0.95,1.0,1.0,1.0,1.0,1.0
1.02,1.0,1.0,1.0,1.0,1.0
1.15,1.0,1.0,1.0,1.0,1.0
1.35,1.0,1.0,1.0,1.0,1.0
1.45,1.0,1.0,1.0,1.0,1.0
1.51,1.0,1.0,1.0,1.0,1.0
1.94,1.0,1.0,1.0,1.0,1.0
2.14,1.0,1.0,1.0,1.0,1.0
2.37,1.0,1.0,1.0,1.0,1.0
2.43,1.0,1.0,1.0,1.0,1.0
2.66,1.0,1.0,1.0,1.0,1.0
2.96,1.0,1.0,1.0,1.0,1.0
2.99,1.0,1.0,1.0,1.0,1.0
3.02,1.0,1.0,1.0,1.0,1.0
3.12,1.0,1.0,1.0,1.0,1.0
3.22,1.0,1.0,1.0,1.0,1.0
3.38,1.0,1.0,1.0,1.0,1.0
4.01,1.0,1.0,1.0,1.0,1.0
4.17,0.9963636363636362,1.0,1.0,1.0,0.9545454545454544
4.5,0.9963636363636362,1.0,1.0,1.0,0.9545454545454544
4.53,0.9963636363636362,1.0,1.0,1.0,0.9545454545454544
4.8,0.9963636363636362,1.0,1.0,1.0,0.9545454545454544
4.83,0.9963636363636362,1.0,1.0,1.0,0.9545454545454544
4.86,0.9963636363636362,1.0,1.0,1.0,0.9545454545454544
4.93,0.9963636363636362,1.0,1.0,1.0,0.9545454545454544
5.03,0.9963636363636362,1.0,1.0,1.0,0.9545454545454544
5.19,0.9926179084073817,1.0,1.0,1.0,0.9068181818181816
5.32,0.9926179084073817,1.0,1.0,1.0,0.9068181818181816
5.52,0.9926179084073817,1.0,1.0,1.0,0.9068181818181816
5.55,0.9926179084073817,1.0,1.0,1.0,0.9068181818181816
5.75,0.9926179084073817,1.0,1.0,1.0,0.9068181818181816
5.85,0.9926179084073817,1.0,1.0,1.0,0.9068181818181816
5.95,0.9926179084073817,1.0,1.0,1.0,0.9068181818181816
6.04,0.9926179084073817,1.0,1.0,1.0,0.9068181818181816
6.18,0.9926179084073817,1.0,1.0,1.0,0.9068181818181816
6.34,0.9926179084073817,1.0,1.0,1.0,0.9068181818181816
6.47,0.9926179084073817,1.0,1.0,1.0,0.9068181818181816
6.57,0.9926179084073817,1.0,1.0,1.0,0.9068181818181816
6.7,0.98869451746506,0.9957446808510642,1.0,1.0,0.9068181818181816
6.87,0.98869451746506,0.9957446808510642,1.0,1.0,0.9068181818181816
6.96,0.98869451746506,0.9957446808510642,1.0,1.0,0.9068181818181816
7.16,0.98869451746506,0.9957446808510642,1.0,1.0,0.9068181818181816
7.19,0.98869451746506,0.9957446808510642,1.0,1.0,0.9068181818181816
7.26,0.9847078460236686,0.9957446808510642,1.0,1.0,0.856439393939394
7.33,0.9847078460236686,0.9957446808510642,1.0,1.0,0.856439393939394
